Jahr;Monat;Tag;Stunde;Minute;Sekunde;Schritte Held;Schüsse Held;Zeit Level 1;Zeit Level2;Gesamt Zeit;Besiegt in Level
2021;5;2;14;35;7;558;32;11;14;25;2
2021;5;2;14;35;23;363;13;11;0;11;1
2021;5;2;14;35;39;348;15;13;0;13;1
2021;5;2;14;36;3;646;8;11;7;18;0
2021;5;2;14;36;29;703;26;9;13;22;2
2021;5;2;14;36;47;336;3;14;0;14;1
2021;5;2;14;36;57;106;0;7;0;7;1
2021;5;2;14;37;21;579;24;12;7;19;2
2021;5;2;14;37;48;833;30;13;9;22;0
