Jahr;Monat;Tag;Stunde;Minute;Sekunde;Schritte Held;Schüsse Held;Zeit Level 1;Zeit Level2;Gesamt Zeit;Besiegt in Level
2021;5;2;15;6;37;851;13;16;9;25;0
2021;5;2;15;6;50;289;5;9;0;9;1
2021;5;2;15;7;11;583;13;12;6;18;2
2021;5;2;15;7;47;824;30;11;22;33;0
2021;5;2;15;8;17;681;16;24;0;24;1
2021;5;2;15;8;50;754;19;12;17;29;0
2021;5;2;15;9;28;728;16;19;12;32;0
