Jahr;Monat;Tag;Stunde;Minute;Sekunde;Schritte Held;Schüsse Held;Zeit Level 1;Zeit Level2;Gesamt Zeit;Besiegt in Level
2021;5;2;13;16;30;872;18;15;9;24;2
2021;5;2;13;17;49;917;11;16;8;24;2
2021;5;2;13;18;14;975;13;8;14;22;0
2021;5;2;13;18;31;496;12;13;0;13;1
2021;5;2;13;18;55;820;12;12;9;21;0
